game_id,minute,player,team1score,team2score
1,18,Schiavio,1,0
1,20,Orsi,2,0
1,29,Schiavio,3,0
1,57,Donelli,3,1
1,63,Ferrari,4,1
1,64,Schiavio,5,1
1,69,Orsi,6,1
1,90+,Meazza,7,1
2,18,Nicolas,0,1
2,44,Sindelar,1,1
2,93,Schall,2,1
2,109,BiÄan,3,1
2,118,Verriest [p.],3,2
3,25,Kobierski,1,0
3,29,Voorhoof,1,1
3,43,Voorhoof,1,2
3,49,Siffling,2,2
3,66,Conen,3,2
3,70,Conen,4,2
3,87,Conen,5,2
4,11,Dobai,0,1
4,50,PuÄ,1,1
4,67,NejedlÃ½,2,1
5,7,Kielholz,1,0
5,19,Smit,1,1
5,43,Kielholz,2,1
5,69,Abegglen,3,1
5,84,Vente,3,2
6,4,Belis,0,1
6,9,Jonasson,1,1
6,48,Galateo,1,2
6,67,Jonasson,2,2
6,79,Kroon,3,2
7,18,Iraragorri [p.],1,0
7,25,LÃ¡ngara,2,0
7,29,LÃ¡ngara,3,0
7,55,LeÃ´nidas,3,1
8,11,Teleki,1,0
8,31,Toldi,2,0
8,35,Fawzi,2,1
8,39,Fawzi,2,2
8,53,Vincze,3,2
8,61,Toldi,4,2
9,8,Horvath,1,0
9,51,Zischek,2,0
9,60,SÃ¡rosi [p.],2,1
10,18,Kielholz,0,1
10,24,Svoboda,1,1
10,49,Sobotka,2,1
10,78,JÃ¤ggi,2,2
10,82,NejedlÃ½,3,2
11,60,Hohmann,1,0
11,63,Hohmann,2,0
11,82,Dunker,2,1
12,30,Regueiro,0,1
12,44,Ferrari,1,1
13,11,Meazza,1,0
14,19,Guaita,1,0
15,21,NejedlÃ½,1,0
15,62,Noack,1,1
15,69,NejedlÃ½,2,1
15,80,NejedlÃ½,3,1
16,1,Lehner,1,0
16,27,Conen,2,0
16,28,Horvath,2,1
16,42,Lehner,3,1
16,54,Sesta,3,2
17,71,PuÄ,0,1
17,81,Orsi,1,1
17,95,Schiavio,2,1
18,17,Simonsson,1,0
18,58,Liedholm [p.],2,0
18,64,Simonsson,3,0
19,3,Corbatta,0,1
19,33,Rahn,1,1
19,42,Seeler,2,1
19,79,Rahn,3,1
20,20,Cush,1,0
21,20,Amarilla,0,1
21,24,Fontaine,1,1
21,30,Fontaine,2,1
21,44,Amarilla [p.],2,2
21,50,Romero,2,3
21,52,Piantoni,3,3
21,61,Wisnieski,4,3
21,67,Fontaine,5,3
21,70,Kopa,6,3
21,83,Vincent,7,3
22,6,PetakoviÄ,1,0
22,49,Murray,1,1
23,4,Bozsik,1,0
23,26,J. Charles,1,1
24,13,Simonjan,0,1
24,56,A. Ivanov,0,2
24,65,Kevan,1,2
24,84,Finney [p.],2,2
25,38,Mazola,1,0
25,49,NÃ­lton Santos,2,0
25,85,Mazola,3,0
26,24,DvoÅÃ¡k [p.],0,1
26,42,ZikÃ¡n,0,2
26,60,SchÃ¤fer,1,2
26,70,Rahn,2,2
27,4,McParland,0,1
27,37,Corbatta [p.],1,1
27,56,MenÃ©ndez,2,1
27,60,Avio,3,1
28,3,AgÃ¼ero,1,0
28,32,Mudie,1,1
28,44,Re,2,1
28,74,Parodi,3,1
28,76,Collins,3,2
29,5,Fontaine,0,1
29,16,PetakoviÄ,1,1
29,65,VeselinoviÄ,2,1
29,85,Fontaine,2,2
29,87,VeselinoviÄ,3,2
30,32,I. Allchurch,1,0
30,89,Belmonte,1,1
32,15,A. Ivanov,1,0
32,62,V. Ivanov,2,0
33,34,Hamrin,1,0
33,55,Hamrin,2,0
33,78,Tichy,2,1
35,19,McParland,0,1
35,21,Rahn,1,1
35,60,McParland,1,2
35,79,Seeler,2,2
36,8,DvoÅÃ¡k,1,0
36,17,ZikÃ¡n,2,0
36,40,ZikÃ¡n,3,0
36,65,Corbatta [p.],3,1
36,69,Feureisl,4,1
36,82,Hovorka,5,1
36,89,Hovorka,6,1
37,22,Kopa,1,0
37,45,Fontaine,2,0
37,66,Baird,2,1
38,12,OgnjanoviÄ,1,0
38,21,Parodi,1,1
38,29,VeselinoviÄ,2,1
38,49,AgÃ¼ero,2,2
38,74,Rajkov,3,2
38,80,Romero,3,3
39,19,Tichy,1,0
39,46,Tichy,2,0
39,54,SÃ¡ndor,3,0
39,60,Bencsics,4,0
40,3,VavÃ¡,1,0
40,77,VavÃ¡,2,0
41,15,Koller,0,1
41,56,Haynes,1,1
41,71,KÃ¶rner,1,2
41,74,Kevan,2,2
42,19,ZikÃ¡n,0,1
42,44,McParland,1,1
42,100,McParland,2,1
43,33,Tichy,0,1
43,55,I. Allchurch,1,1
43,76,Medwin,2,1
44,68,Ilâin,1,0
45,48,Hamrin,1,0
45,87,Simonsson,2,0
46,12,Rahn,1,0
47,43,Wisnieski,1,0
47,55,Fontaine,2,0
47,63,Fontaine,3,0
47,70,Piantoni,4,0
48,73,PelÃ©,1,0
49,24,SchÃ¤fer,0,1
49,32,Skoglund,1,1
49,81,Gren,2,1
49,88,Hamrin,3,1
50,2,VavÃ¡,1,0
50,9,Fontaine,1,1
50,39,Didi,2,1
50,53,PelÃ©,3,1
50,64,PelÃ©,4,1
50,76,PelÃ©,5,1
50,83,Piantoni,5,2
51,16,Fontaine,1,0
51,18,Cieslarczyk,1,1
51,27,Kopa [p.],2,1
51,36,Fontaine,3,1
51,50,Douis,4,1
51,52,Rahn,4,2
51,78,Fontaine,5,2
51,84,SchÃ¤fer,5,3
51,89,Fontaine,6,3
52,3,Liedholm,0,1
52,9,VavÃ¡,1,1
52,32,VavÃ¡,2,1
52,55,PelÃ©,3,1
52,68,Zagallo,4,1
52,80,Simonsson,4,2
52,90,PelÃ©,5,2
53,62,Vandenbergh,0,1
55,34,Balâ,0,1
55,75,SÃ³crates,1,1
55,88,Ãder,2,1
57,4,Nyilasi,1,0
57,11,PÃ¶lÃ¶skei,2,0
57,23,Fazekas,3,0
57,50,TÃ³th,4,0
57,54,Fazekas,5,0
57,64,RamÃ­rez Zapata,5,1
57,69,L. Kiss,6,1
57,72,Szentes,7,1
57,73,L. Kiss,8,1
57,76,L. Kiss,9,1
57,83,Nyilasi,0,1
58,18,Dalglish,1,0
58,29,Wark,2,0
58,32,Wark,3,0
58,54,Sumner,3,1
58,64,Wooddin,3,2
58,73,Robertson,4,2
58,79,Archibald,5,2
59,54,Madjer,0,1
59,67,Rummenigge,1,1
59,68,Belloumi,1,2
60,1,Robson,1,0
60,24,Soler,1,1
60,67,Robson,2,1
60,83,Mariner,3,1
61,7,Zelaya,0,1
61,65,LÃ³pez Ufarte [p.],1,1
62,21,Schachner,0,1
63,21,Panenka [p.],1,0
63,57,Al-Dakhil,1,1
65,18,Conti,1,0
65,83,DÃ­az,1,1
66,26,Bertoni,1,0
66,28,Maradona,2,0
66,57,Maradona,3,0
66,60,Ardiles,4,0
66,76,PÃ¶lÃ¶skei,4,1
67,18,Narey,0,1
67,33,Zico,1,1
67,48,Oscar,2,1
67,63,Ãder,3,1
67,87,FalcÃ£o,4,1
69,19,Coeck,1,0
70,24,Gavrilov,1,0
70,48,Blokhin,2,0
70,68,Baltacha,3,0
71,9,Rummenigge,1,0
71,57,Rummenigge,2,0
71,66,Rummenigge,3,0
71,81,Reinders,4,0
71,90,Moscoso,4,1
72,62,Francis,1,0
72,66,BarmoÅ¡ [o.g.],2,0
73,10,Gudelj,0,1
73,14,Juanito [p.],1,1
73,66,Saura,2,1
74,55,Schachner,0,1
74,67,Krankl,0,2
75,31,Genghini,1,0
75,43,Platini,2,0
75,48,Six,3,0
75,75,Al-Buloushi,3,1
75,89,Bossis,4,1
76,9,Armstrong,0,1
76,60,Laing,1,1
77,55,Smolarek,1,0
77,58,Lato,2,0
77,61,Boniek,3,0
77,68,Buncol,4,0
77,76,CioÅek,5,0
77,83,La Rosa,5,1
78,27,Varga,0,1
78,76,Czerniatynski,1,1
79,15,Jordan,0,1
79,59,Chivadze,1,1
79,84,Shengelia,2,1
79,86,Souness,2,2
80,60,Graziani,1,0
80,61,MâBida,1,1
81,23,Passarella [p.],1,0
81,54,Bertoni,2,0
82,28,Zico,1,0
82,31,Zico,2,0
82,55,FalcÃ£o,3,0
82,70,Serginho,4,0
83,7,Assad,1,0
83,31,Assad,2,0
83,35,Bensaoula,3,0
83,59,Neira [p.],3,1
83,73,Letelier,3,2
84,66,Six,1,0
84,84,Panenka [p.],1,1
85,88,PetroviÄ [p.],0,1
86,10,Hrubesch,1,0
87,27,Francis,1,0
88,47,Armstrong,1,0
89,39,Genghini,0,1
90,4,Boniek,1,0
90,26,Boniek,2,0
90,53,Boniek,3,0
91,55,Tardelli,1,0
91,67,Cabrini,2,0
91,83,Passarella,2,1
93,27,Hamilton,0,1
93,50,Pezzey,1,1
93,68,Hintermaier,2,1
93,75,Hamilton,2,2
94,48,Oganesian,0,1
95,11,Zico,0,1
95,66,Serginho,0,2
95,75,JÃºnior,0,3
95,89,RamÃ³n DÃ­az,1,3
96,50,Littbarski,1,0
96,75,Fischer,2,0
96,82,Zamora,2,1
97,33,Giresse,1,0
97,46,Rocheteau,2,0
97,68,Rocheteau,3,0
97,75,Armstrong,3,1
97,80,Giresse,4,1
99,5,Rossi,1,0
99,12,SÃ³crates,1,1
99,25,Rossi,2,1
99,68,FalcÃ£o,2,2
99,74,Rossi,3,2
101,22,Rossi,0,1
101,73,Rossi,0,2
102,17,Littbarski,1,0
102,26,Platini [p.],1,1
102,92,TrÃ©sor,1,2
102,98,Giresse,1,3
102,102,Rummenigge,2,3
102,108,Fischer,3,3
103,14,Girard,0,1
103,42,Szarmach,1,1
103,45,Majewski,2,1
103,47,Kupcewicz,3,1
103,75,Couriol,3,2
104,57,Rossi,1,0
104,69,Tardelli,2,0
104,81,Altobelli,3,0
104,83,Breitner,3,1
106,15,Held,1,0
106,20,Haller,2,0
106,39,Beckenbauer,3,0
106,52,Beckenbauer,4,0
106,77,Haller [p.],5,0
107,15,PelÃ©,1,0
107,63,Garrincha,2,0
108,31,Malofeev,1,0
108,33,Banishevskij,2,0
108,88,Malofeev,3,0
109,48,Borja,0,1
109,62,Hausser,1,1
110,65,Artime,1,0
110,71,Pirri,1,1
110,77,Artime,2,1
111,1,JosÃ© Augusto,1,0
111,60,Bene,1,1
111,67,JosÃ© Augusto,2,1
111,90,Torres,3,1
112,8,Mazzola,1,0
112,88,Barison,2,0
113,15,De Bourgoing [p.],0,1
113,26,Rocha,1,1
113,31,CortÃ©s,2,1
114,28,Quentin,0,1
114,57,Sanchis,1,1
114,75,Amancio,2,1
115,2,Bene,1,0
115,14,TostÃ£o,1,1
115,64,Farkas,2,1
115,73,MÃ©szÃ¶ly [p.],3,1
116,26,Marcos [p.],0,1
116,88,Park Seung-jin,1,1
118,7,Vutsov [o.g.],1,0
118,38,EusÃ©bio,2,0
118,81,Torres,3,0
119,57,Chislenko,1,0
120,37,B. Charlton,1,0
120,75,Hunt,2,0
122,53,Artime,1,0
122,81,Onega,2,0
123,15,SimÃµes,1,0
123,27,EusÃ©bio,2,0
123,70,Rildo,2,1
123,85,EusÃ©bio,3,1
124,42,Park Doo-ik,1,0
125,38,Hunt,1,0
125,75,Hunt,2,0
126,22,FustÃ©,0,1
126,38,Emmerich,1,1
126,84,Seeler,2,1
127,15,Asparukhov,0,1
127,43,Davidov [o.g.],1,1
127,45,MÃ©szÃ¶ly,2,1
127,54,Bene,3,1
128,28,Porkujan,1,0
128,32,Marcos,1,1
128,85,Porkujan,2,1
129,11,Haller,1,0
129,70,Beckenbauer,2,0
129,75,Seeler,3,0
129,83,Haller,4,0
130,1,Park Seung-jin,0,1
130,22,Lee Dong-woon,0,2
130,25,Yang Sung-kook,0,3
130,27,EusÃ©bio,1,3
130,43,EusÃ©bio [p.],2,3
130,56,EusÃ©bio,3,3
130,59,EusÃ©bio [p.],4,3
130,80,JosÃ© Augusto,5,3
131,5,Chislenko,1,0
131,46,Porkujan,2,0
131,57,Bene,2,1
132,78,Hurst,1,0
133,43,Haller,1,0
133,67,Beckenbauer,2,0
133,88,Porkujan,2,1
134,30,B. Charlton,1,0
134,80,B. Charlton,2,0
134,82,EusÃ©bio [p.],2,1
135,12,EusÃ©bio [p.],1,0
135,43,Malofeev,1,1
135,89,Torres,2,1
136,12,Haller,0,1
136,18,Hurst,1,1
136,78,Peters,2,1
136,89,Weber,2,2
136,101,Hurst,3,2
136,120,Hurst,4,2
201,19,L. Laurent,1,0
201,40,Langiller,2,0
201,42,Maschinot,3,0
201,70,CarreÃ±o,3,1
201,87,Maschinot,4,1
202,41,McGhee,1,0
202,44,Florie,2,0
202,88,Patenaude,3,0
203,21,TirnaniÄ,1,0
203,30,Bek,2,0
203,62,Preguinho,2,1
204,1,DeÅu,1,0
204,75,Souza Ferreira,1,1
204,79,Stanciu,2,1
204,89,Kovacs,3,1
205,81,Monti,1,0
206,3,Subiabre,1,0
206,51,Subiabre,2,0
206,65,Vidal,3,0
207,60,Bek,1,0
207,65,MarjanoviÄ,2,0
207,67,Bek,3,0
207,85,VujadinoviÄ,4,0
208,10,Patenaude,1,0
208,15,Patenaude,2,0
208,50,Patenaude,3,0
209,60,Castro,1,0
210,64,Subiabre,1,0
211,8,StÃ¡bile,1,0
211,10,ZumelzÃº,2,0
211,17,StÃ¡bile,3,0
211,37,M. Rosas [p.],3,1
211,53,Varallo,4,1
211,55,ZumelzÃº,5,1
211,72,M. Rosas,5,2
211,78,GayÃ³n,5,3
211,80,StÃ¡bile,6,3
212,37,Moderato,1,0
212,57,Preguinho,2,0
212,73,Moderato,3,0
212,83,Preguinho,4,0
213,40,Vargas PeÃ±a,1,0
214,7,Dorado,1,0
214,26,Scarone,2,0
214,31,Anselmo,3,0
214,35,Cea,4,0
215,12,StÃ¡bile,1,0
215,14,StÃ¡bile,2,0
215,15,Subiabre,2,1
215,51,M. Evaristo,3,1
216,20,Monti,1,0
216,56,Scopelli,2,0
216,69,StÃ¡bile,3,0
216,80,Peucelle,4,0
216,85,Peucelle,5,0
216,87,StÃ¡bile,6,0
216,89,Brown,6,1
217,4,VujadinoviÄ,0,1
217,18,Cea,1,1
217,20,Anselmo,2,1
217,31,Anselmo,3,1
217,61,Iriarte,4,1
217,67,Cea,5,1
217,72,Cea,6,1
218,12,Dorado,1,0
218,20,Peucelle,1,1
218,37,StÃ¡bile,1,2
218,57,Cea,2,2
218,68,Iriarte,3,2
218,89,Castro,4,2
219,43,Altobelli,0,1
219,85,Sirakov,1,1
220,62,SÃ³crates,0,1
221,79,Papin,0,1
222,6,Valdano,1,0
222,18,Ruggeri,2,0
222,46,Valdano,3,0
222,73,Park Chang-sun,3,1
223,2,Yakovenko,1,0
223,4,Alejnikov,2,0
223,24,Belanov [p.],3,0
223,66,Yaremchuk,4,0
223,73,Dajka [o.g.],5,0
223,80,Rodionov,6,0
225,23,Quirarte,0,1
225,39,Hugo SÃ¡nchez,0,2
225,45,Vandenbergh,1,2
226,6,Whiteside,0,1
226,59,Zidane,1,1
227,76,Carlos Manuel,1,0
228,35,Romerito,1,0
229,4,Alzamendi,1,0
229,84,Allofs,1,1
230,57,ElkjÃ¦r Larsen,0,1
231,6,Altobelli [p.],1,0
231,34,Maradona,1,1
232,53,Rats,0,1
232,60,FernÃ¡ndez,1,1
233,11,Getov,0,1
233,70,Kim Jong-boo,1,1
234,2,EsterhÃ¡zy,1,0
234,75,DÃ©tÃ¡ri,2,0
235,66,Careca,1,0
237,3,Flores,1,0
237,85,Romerito,1,1
238,2,ButragueÃ±o,0,1
238,18,Julio Salinas,0,2
238,47,Clarke,1,2
239,68,Smolarek,1,0
240,16,Scifo,0,1
240,21,Claesen [p.],0,2
240,59,Radhi,1,2
241,18,Strachan,0,1
241,23,VÃ¶ller,1,1
241,49,Allofs,2,1
242,11,ElkjÃ¦r Larsen,1,0
242,41,Lerby,2,0
242,45+,Francescoli [p.],2,1
242,52,Laudrup,3,1
242,67,ElkjÃ¦r Larsen,4,1
242,80,ElkjÃ¦r Larsen,5,1
242,88,J. Olsen,6,1
243,29,Stopyra,0,1
243,62,Tigana,0,2
243,84,Rocheteau,0,3
244,58,Blokhin,1,0
244,74,Zavarov,2,0
245,18,Altobelli,0,1
245,62,Choi Soon-ho,1,1
245,73,Altobelli,1,2
245,82,Cho Kwang-rae [o.g.],1,3
245,89,Huh Jung-moo,2,3
246,3,Valdano,1,0
246,76,Burruchaga,2,0
247,30,Vercauteren,0,1
247,50,CabaÃ±as,1,1
247,59,Veyt,1,2
247,76,CabaÃ±as,2,2
248,54,Quirarte,0,1
249,9,Lineker,1,0
249,14,Lineker,2,0
249,34,Lineker,3,0
250,19,KhaÃ¯ri,0,1
250,26,KhaÃ¯ri,0,2
250,62,Krimau,0,3
250,80,Diamantino,1,3
251,15,Careca,0,1
251,42,Josimar,0,2
251,87,Careca,0,3
252,15,CalderÃ©,0,1
252,68,CalderÃ©,0,2
252,70,Eloy,0,3
253,43,J. Olsen [p.],1,0
253,62,Eriksen,2,0
255,34,Negrete,1,0
255,61,ServÃ­n,2,0
256,27,Belanov,1,0
256,54,Scifo,1,1
256,69,Belanov,2,1
256,77,Ceulemans,2,2
256,102,Demol,2,3
256,108,Claesen,2,4
256,111,Belanov [p.],3,4
257,30,SÃ³crates [p.],1,0
257,55,Josimar,2,0
257,79,Edinho,3,0
257,83,Careca [p.],4,0
258,42,Pasculli,1,0
259,15,Platini,0,1
259,57,Stopyra,0,2
260,87,MatthÃ¤us,0,1
261,32,Lineker,1,0
261,56,Beardsley,2,0
261,72,Lineker,3,0
262,33,J. Olsen [p.],1,0
262,43,ButragueÃ±o,1,1
262,57,ButragueÃ±o,1,2
262,68,Goicoechea [p.],1,3
262,80,ButragueÃ±o,1,4
262,89,ButragueÃ±o [p.],1,5
263,17,Careca,1,0
263,41,Platini,1,1
265,51,Maradona,1,0
265,54,Maradona,2,0
265,80,Lineker,2,1
266,35,Ceulemans,0,1
266,85,SeÃ±or,1,1
267,9,Brehme,0,1
267,90+,VÃ¶ller,0,2
268,51,Maradona,1,0
268,63,Maradona,2,0
269,11,Ceulemans,0,1
269,27,Ferreri,1,1
269,43,Papin,2,1
269,73,Claesen,2,2
269,104,Genghini,3,2
269,111,AmorÃ³s [p.],4,2
270,23,Brown,1,0
270,56,Valdano,2,0
270,74,Rummenigge,2,1
270,81,VÃ¶ller,2,2
270,84,Burruchaga,3,2
271,29,Gauchel,0,1
271,43,Abegglen,1,1
272,2,Ferraris,1,0
272,83,Brustad,1,1
272,94,Piola,2,1
273,1,Veinante,1,0
273,11,Nicolas,2,0
273,19,Isemborghs,2,1
273,69,Nicolas,3,1
274,14,Kohut,1,0
274,16,Toldi,2,0
274,25,G. SÃ¡rosi,3,0
274,30,ZsengellÃ©r,4,0
274,67,ZsengellÃ©r,5,0
274,88,G. SÃ¡rosi,6,0
275,35,Bindea,0,1
275,44,Socorro,1,1
275,69,MagriÃ±Ã¡,2,1
275,88,Baratki,2,2
275,103,Socorro,3,2
275,105,Dobai,3,3
276,18,LeÃ´nidas,1,0
276,23,Scherfke [p.],1,1
276,25,Romeu,2,1
276,44,PerÃ¡cio,3,1
276,53,Wilimowski,3,2
276,59,Wilimowski,3,3
276,71,PerÃ¡cio,4,3
276,89,Wilimowski,4,4
276,93,LeÃ´nidas,5,4
276,104,LeÃ´nidas,6,4
276,118,Wilimowski,6,5
277,93,KoÅ¡Å¥Ã¡lek,1,0
277,111,Zeman,2,0
277,118,NejedlÃ½,3,0
278,8,Hahnemann,0,1
278,22,LÃ¶rtscher [o.g.],0,2
278,42,Wallaschek,1,2
278,64,Bickel,2,2
278,75,Abegglen,3,2
278,78,Abegglen,4,2
279,35,Dobai,0,1
279,51,Socorro,1,1
279,57,FernÃ¡ndez,2,1
280,9,Colaussi,1,0
280,10,Heisserer,1,1
280,51,Piola,2,1
280,72,Piola,3,1
281,30,LeÃ´nidas,1,0
281,65,NejedlÃ½ [p.],1,1
282,40,G. SÃ¡rosi,1,0
282,90,ZsengellÃ©r,2,0
283,9,H. Andersson,1,0
283,22,WetterstrÃ¶m,2,0
283,37,WetterstrÃ¶m,3,0
283,44,WetterstrÃ¶m,4,0
283,80,Keller,5,0
283,81,H. Andersson,6,0
283,84,Nyberg,7,0
283,89,H. Andersson,8,0
284,25,KopeckÃ½,0,1
284,57,LeÃ´nidas,1,1
284,62,Roberto,2,1
285,51,Colaussi,1,0
285,60,Meazza [p.],2,0
285,87,Romeu,2,1
286,1,Nyberg,0,1
286,19,Jacobsson [o.g.],1,1
286,37,Titkos,2,1
286,39,ZsengellÃ©r,3,1
286,65,G. SÃ¡rosi,4,1
286,85,ZsengellÃ©r,5,1
287,28,Jonasson,0,1
287,38,Nyberg,0,2
287,44,Romeu,1,2
287,63,LeÃ´nidas,2,2
287,74,LeÃ´nidas,3,2
287,80,PerÃ¡cio,4,2
288,6,Colaussi,1,0
288,8,Titkos,1,1
288,16,Piola,2,1
288,35,Colaussi,3,1
288,70,G. SÃ¡rosi,3,2
288,82,Piola,4,2
289,30,Ademir,1,0
289,65,Jair,2,0
289,71,Baltazar,3,0
289,79,Ademir,4,0
290,39,Mortensen,1,0
290,51,Mannion,2,0
291,17,Pariani,0,1
291,81,Igoa,1,1
291,83,Basora,2,1
291,89,Zarra,3,1
292,7,Carapellese,0,1
292,25,Jeppson,1,1
292,33,Andersson,2,1
292,68,Jeppson,3,1
292,75,Muccinelli,3,2
293,59,MitiÄ,1,0
293,70,TomaÅ¡eviÄ,2,0
293,84,Ognjanov,3,0
294,3,Alfredo,1,0
294,17,Fatton,1,1
294,32,Baltazar,2,1
294,88,Fatton,2,2
295,20,Bobek,1,0
295,23,Å½eljko Äajkovski,2,0
295,51,Å½eljko Äajkovski,3,0
295,81,TomaÅ¡eviÄ,4,0
295,89,Ortiz [p.],4,1
296,17,Basora,1,0
296,30,Zarra,2,0
297,17,Sundqvist,1,0
297,25,PalmÃ©r,2,0
297,34,LÃ³pez,2,1
297,74,LÃ³pez Fretes,2,2
298,38,Gaetjens,1,0
299,4,Ademir,1,0
